Date,Weight
2021-09-05,71.1
2021-09-06,71.25
2021-09-07,71.4
2021-09-08,71.65
2021-09-09,71.2
2021-09-10,71.75
2021-09-11,71.3
2021-09-12,71.1
2021-09-13,70.75
2021-09-14,71.05
2021-09-15,71.55
2021-09-16,71.3
2021-09-17,71.15
2021-09-18,70.3
2021-09-19,70.95
2021-09-20,70.65
2021-09-21,70.95
2021-09-22,71
2021-09-23,71.4
2021-09-24,70.8
2021-09-25,69.95
2021-09-26,70.6
2021-09-27,71.1
2021-09-28,70.3
2021-09-29,70.45
2021-09-30,70.65
2021-10-01,71.05
2021-10-02,70.35
2021-10-03,70.9
2021-10-04,70.7
2021-10-05,70.4
2021-10-06,71.15
2021-10-07,71.25
2021-10-08,71.2
2021-10-09,70.4
2021-10-10,70.95
2021-10-11,70.9
2021-10-12,70.8
2021-10-13,70.7
2021-10-14,70.35
2021-10-15,70.5
2021-10-16,70.7
2021-10-17,70.9
2021-10-18,70.55
2021-10-19,70.45
2021-10-20,70.05
2021-10-21,70.45
2021-10-22,70.25
2021-10-23,70.15
2021-10-24,70.3
2021-10-25,70.85
2021-10-26,70.85
2021-10-27,71
2021-10-28,70.65
2021-10-29,71.35
2021-10-30,70.45
2021-10-31,70.5
2021-11-01,70.55
2021-11-02,71.25
2021-11-03,70.65
2021-11-04,70.15
2021-11-05,70.65
2021-11-06,70.1
2021-11-07,70.75
2021-11-08,71.45
2021-11-09,72.15
2021-11-10,72.15
2021-11-11,71.5
2021-11-12,71.05
2021-11-13,70.8
2021-11-14,70.35
2021-11-15,71.6
2021-11-16,72.45
2021-11-17,71.3
2021-11-18,71.6
2021-11-19,70.4
2021-11-20,71.65
2021-11-21,72.15
2021-11-22,72.25
2021-11-23,71.65
2021-11-24,70.85
2021-11-25,72.05
2021-11-26,71.05
2021-11-27,70.3
2021-11-28,70.5
2021-11-29,71.35
2021-11-30,71.25
2021-12-01,71.15
2021-12-02,71.45
2021-12-03,71.5
2021-12-04,70.4
2021-12-05,71.5
2021-12-06,71.5
2021-12-07,71.9
2021-12-08,70.9
2021-12-09,70.2
2021-12-10,70.55
2021-12-11,70.15
2021-12-12,71.2
2021-12-13,70.9
2021-12-14,71.85
2021-12-15,70.8
2021-12-16,70.6
2021-12-17,69.85
2021-12-18,71.3
2021-12-19,71.05
2021-12-20,71.25
2021-12-21,72.45
2021-12-22,71.1
2021-12-23,70.95
2021-12-24,70.95
2021-12-25,71.4
2021-12-26,71.8
2021-12-27,71.5
2021-12-28,71.7
2021-12-29,72.45
2021-12-30,71.65
2021-12-31,71.1
2022-01-01,71.65
2022-01-02,
2022-01-03,73.45
2022-01-04,72.8
2022-01-05,71.7
2022-01-06,71.8
2022-01-07,71.8
2022-01-08,71.3
2022-01-09,70.7
2022-01-10,71.25
2022-01-11,71.4
2022-01-12,72.15
2022-01-13,71.3
2022-01-14,71
2022-01-15,71.3
2022-01-16,70.7
2022-01-17,71.05
2022-01-18,71.8
2022-01-19,71.95
2022-01-20,71.3
2022-01-21,70.8
2022-01-22,70.6
2022-01-23,71.45
